ID,Name,Description,Quantity,Unit Value,Total Value,Category,Location,Inventory Type ID,Parent Item ID,Barcode,Reorder Point,accessoryType,magnification,reticleType,caliber,action,manufacturer,frame,condition,serialNumber,barrelLength,mountType,eyeRelief,batteryType,weight,activationMethod,triggerPull,lumens,candela,beamDistance,runtime,Created At,Updated At
14,Defender-CCW 3 MOA ,,1,249.99,249.99,Red Dots,,2,12,,0,Optic,3 MOA,Red Dot,,,,,,,,,,,,,,,,,,2026-03-18T17:06:16.565Z,2026-03-18T17:06:16.565Z
12,Hellcat Pro Comp OSP,The Hellcat Pro is a compact 9mm pistol designed to combine the performance of a larger handgun with class-leading concealability and capacity — offering 15+1 in a smaller footprint than competing guns in its class. It debuted in March 2022 and has become a go-to EDC option.,1,699,1202.65,Handguns,,1,,,0,,,,9mm,Semi-Automatic,Springfield Armory,Polymer,New,BF378536,"3.7""",,,,,,,,,,,2026-03-18T16:45:04.181Z,2026-03-18T17:16:58.589Z
4,Holosun 507COMP - Green,"507Comp-RD/507Comp-GR handgun sight features a large 1.1"" x 0.87"" objective lens for enhanced shooting performance and Holosun's new Competition Reticle System (CRS) with Holosun's 650nm Red/540nm Green Super LED and up to 50k hour battery life with a 1632 cell.

CRS is an enhanced multi-reticle system with four components including a precision 2MOA dot, an 8MOA circle, 20MOA circle, and 32MOA circle with multiple combination settings to suit individual shooter preference. 507Comp-RD/507Comp-GR is made from 7075 aluminum with an industry standard footprint, and includes Shake Awake technology

Shake Awake Technology is a standard feature on all current model Holosun optics and serves to extend battery life by deactivating the optic's LED while not in use.",1,474.98,474.98,Red Dots,,2,1,,0,,2 MOA Dot,Green Dot,,,Holosun,,,,,RMR Footprint,Unlimited,CR1632,1.7oz,,,,,,,2026-03-10T18:46:49.976Z,2026-03-10T18:46:49.976Z
5,Holosun HE509T Optic,"The HE509T-RD X2 is a hard-use, nitrogen-purged enclosed LED sight designed for handgun applications. The HE509T-RD X2 features a grade 5 titanium housing, Holosun's Super LED with up to 50k hour battery life, Multi-Reticle System, Solar Failsafe, and Shake Awake technology.

The X2 version adds improved glass clarity, Lock Mode, and a full Multi-Reticle System providing 2MOA dot only, 32MOA Circle only, or a Circle-Dot combination. HE509T-RD X2 includes an adapter plate for compatibility with rmr-style footprints. HE509T-RD X2 feature 12 intensity settings, two of which are compatible with night vision devices.",1,589.94,589.94,Red Dots,,2,2,,0,Optic,2 MOA,Green Dot,,,Holosun,,,,,RMR Foot Print,,CR1632,1.72oz,,,,,,,2026-03-10T18:53:03.292Z,2026-03-10T21:55:59.069Z
6,Holosun HS507C X2,"The HS507C X2 is an open reflex optical sight designed for full-sized pistol applications. The HS507C X2 improves on previous versions by adding Lock Mode which was first introduced in our 2018 LEM pistol optic models. Lock Mode, when activated, locks the buttons preventing inadvertent setting changes.

Additional features include Holosun's Red Super LED with up to 50k hour battery life, Solar Failsafe, Multi-Reticle System, and Shake Awake. The durable housing is made from 7075 Aluminum, uses an industry standard footprint, and houses the 1632 battery in a side-mounted tray for easy replacement when needed.",1,364.99,364.99,Optics,,2,3,,0,Optic,,Red Dot,,,Holosun,,New,,,RMR Footprint,,1632,1.5,Constant,,,,,,2026-03-11T01:53:08.812Z,2026-03-11T01:53:08.812Z
7,Holosun Iris-GR4,"The Holosun IRIS-GR4 is a compact, advanced quad-function aiming and illumination system engineered to meet the demands of modern professionals and enthusiasts alike.",1,1176.46,1176.46,Lasers,,2,,,0,Laser,,,,,Holosun,,New,,,Picatinny,,,,Momentary/Constant,,,,,,2026-03-11T08:58:15.517Z,2026-03-11T08:58:15.517Z
8,SMSLaser HFXC,,1,215,215,Lasers,,2,,,0,Laser,,,,,,,,,,,,,,,,,,,,2026-03-10T21:54:55.683Z,2026-03-10T23:32:47.955Z
1,Staccato CS,,1,2749,3406.33,Handguns,,1,,,0,,,,9mm,Semi-Automatic,Staccato,Aluminum,New,CS24 9747,"3.5""",,,,23oz,,4.0lbs,,,,,2026-03-10T18:35:34.243Z,2026-03-10T18:35:34.243Z
2,Staccato HD P4.5,The P4.5 takes HD performance to the next level. The P4 slide mated to a longer 4.5-inch one-piece sight block barrel maintains the quick slide speed with increased non-reciprocating mass for less muzzle flip.,1,3099,3871.29,Handguns,,1,,,0,,,,9mm,Semi-Automatic,Staccato,Steel,New,P45-03896,"4.5""",,,,34oz,,4lv,,,,,2026-03-10T18:35:34.248Z,2026-03-10T18:35:34.248Z
3,Staccato XC,"From elite shooters to everyday range shooters, the Staccato XC delivers incredibly flat and fast shooting. Built with an integrated compensated barrel and a balanced trigger, the XC gives shooters a leg-up on their peers. The increased confidence shooters gain with the XC also makes it a sound choice for home defense.",1,4299.02,4879.610000000001,Handguns,,1,,,0,,,,9mm,Semi-Automatic,Staccato,Steel,New,XC22 16427,"5.0"" Island Comp",,,,37.56oz,,2.5lb,,,,,2026-03-11T01:50:32.874Z,2026-03-11T01:50:32.874Z
