ID,Name,Description,Quantity,Unit Value,Total Value,Category,Location,Inventory Type ID,Parent Item ID,Barcode,Reorder Point,reticleType,magnification,mountType,eyeRelief,batteryType,weight,manufacturer,accessoryType,activationMethod,condition,ID,Total Value,Inventory Type ID,Parent Item ID,caliber,barrelLength,action,triggerPull,frame,serialNumber,lumens,candela,beamDistance,runtime,Created At,Updated At,Created At,Updated At
37,Holosun 507COMP - Green,"507Comp-RD/507Comp-GR handgun sight features a large 1.1” x 0.87” objective lens for enhanced shooting performance and Holosun’s new Competition Reticle System (CRS) with Holosun’s 650nm Red/540nm Green Super LED and up to 50k hour battery life with a 1632 cell.image

CRS is an enhanced multi-reticle system with four components including a precision 2MOA dot, an 8MOA circle, 20MOA circle, and 32MOA circle with multiple combination settings to suit individual shooter preference.  507Comp-RD/507Comp-GR is made from 7075 aluminum with an industry standard footprint, and includes Shake Awake technology

Shake Awake Technology is a standard feature on all current model Holosun optics and serves to extend battery life by deactivating the optic’s LED while not in use. A highly sensitive motion sensor works to detect motion keeping the LED powered on during use. This allows for duty or concealed carry with seamless operation throughout your day or shift. At the end of your day or shift when your firearm is stored, the motion sensor will detect a motionlessness state and after 10 minutes (default setting) Shake Awake Technology powers the LED off until motion is again detected. Shake Awake offers settings from 10 minutes to 12 hours depending on the model and can be deactivated altogether if preferred. The slightest touch of the optic instantly reactivates the LED so your Holosun optic is ready when needed.",1,474.98,474.98,Red Dots,,332,36,,0,Green Dot,2 MOA Dot,RMR Footprint,Unlimited,CR1632,1.7oz,Holosun,,,,,,,,,,,,,,,,,,,,2026-03-10T18:46:49.976Z,2026-03-10T18:46:49.976Z
38,Holosun HE509T Optic,"The HE509T-RD X2 is a hard-use, nitrogen-purged enclosed LED sight designed for handgun applications. The HE509T-RD X2features a grade 5 titanium housing, Holosun’s Super LED with up to 50k hour battery life, Multi-Reticle System, Solar Failsafe, and Shake Awake technology.

The X2 version adds improved glass clarity, Lock Mode, and a full Multi-Reticle System providing 2MOA dot only, 32MOA Circle only, or a Circle-Dot combination. HE509T-RD X2 includes an adapter plate for compatibility with rmr-style footprints. HE509T-RD X2 feature 12 intensity settings, two of which are compatible with night vision devices.",1,589.94,589.94,Red Dots,,332,35,,0,Green Dot,2 MOA,RMR Foot Print,,CR1632,1.72oz,Holosun,Optic,,,,,,,,,,,,,,,,,,,2026-03-10T18:53:03.292Z,2026-03-10T21:55:59.069Z
43,Holosun HS507C X2,"The HS507C X2 is an open reflex optical sight designed for full-sized pistol applications. The HS507C X2 improves on previous versions by adding Lock Mode which was first introduced in our 2018 LEM pistol optic models. Lock Mode, when activated, locks the buttons preventing inadvertent setting changes.

Additional features include Holosun’s Red Super LED with up to 50k hour battery life, Solar Failsafe, Multi-Reticle System, and Shake Awake. The durable housing is made from 7075 Aluminum, uses an industry standard footprint, and houses the 1632 battery in a side-mounted tray for easy replacement when needed.",1,364.99,364.99,Optics,,332,42,,0,Red Dot,,RMR Footprint,,1632,1.5,Holosun,Optic,Constant,New,,,,,,,,,,,,,,,,,2026-03-11T01:53:08.812Z,2026-03-11T01:53:08.812Z
41,SMSLaser HFXC,,1,215,215,Lasers,,332,,,0,,,,,,,,Laser,,,,,,,,,,,,,,,,,,,2026-03-10T21:54:55.683Z,2026-03-10T23:32:47.955Z
35,Staccato CS,,1,2749,2749,Handguns,,2,,,0,,,,,,23oz,Staccato,,,New,34,2749,2,,9mm,"3.5""",Semi-Automatic,4.0lbs,Aluminum,CS24 9747,,,,,2026-03-10T00:47:16.225Z,2026-03-10T00:47:16.225Z,2026-03-10T18:35:34.243Z,2026-03-10T18:35:34.243Z
36,Staccato HD P4.5,The P4.5 takes HD performance to the next level. The P4 slide mated to a longer 4.5-inch one-piece sight block barrel maintains the quick slide speed with increased non-reciprocating mass for less muzzle flip.,1,3099,3099,Handguns,,2,,,0,,,,,,34oz,Staccato,,,New,37,3099,2,,9mm,"4.5""",Semi-Automatic,4lv,Steel,P45-03896,,,,,2026-03-10T14:47:04.294Z,2026-03-10T15:08:04.056Z,2026-03-10T18:35:34.248Z,2026-03-10T18:35:34.248Z
42,Staccato XC,"From elite shooters to everyday range shooters, the Staccato XC delivers incredibly flat and fast shooting. Built with an integrated compensated barrel and a balanced trigger, the XC gives shooters a leg-up on their peers. The increased confidence shooters gain with the XC also makes it a sound choice for home defense.",1,4299.02,4299.02,Handguns,,2,,,0,,,,,,37.56oz,Staccato,,,New,,,,,9mm,"5.0"" Island Comp",Semi-Automatic,2.5lb,Steel,XC22 16427,,,,,,,2026-03-11T01:50:32.874Z,2026-03-11T01:50:32.874Z
44,Streamlight TLR-1 HL-X,,1,215.6,215.6,Optics,,332,42,,0,,,Picatinny,,CR123A (x2),5.19oz,,Light,Momentary/Constant,New,,,,,,,,,,,1500,15000,245m,1h,,,2026-03-11T01:55:55.590Z,2026-03-11T01:55:55.590Z
39,Streamlight TLR-7 HL-X sub,,1,182.35,182.35,Weapon Lights,,332,35,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10T20:12:35.653Z,2026-03-10T20:12:35.653Z
40,Streamlight TLR-7 HL-X sub,,1,182.35,182.35,Weapon Lights,,332,36,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10T20:13:09.637Z,2026-03-10T20:13:09.637Z
